model_name,breakpoint_threshold_type,breakpoint_threshold_amount,min_chunk_size,average_score,scores
bert-base-uncased,percentile,19,50,0.1055680906816655,"[0.12520325203252033, 0.0784313725490196, 0.11306964746345657]"
nasa-impact/nasa-ibm-st.38m,percentile,34,50,0.09911063081742455,"[0.1062618595825427, 0.08115183246073299, 0.10991820040899795]"
BAAI/bge-small-en,percentile,25,100,0.10218227562518219,"[0.12110726643598616, 0.07692307692307693, 0.10851648351648352]"
nasa-impact/nasa-ibm-st.38m,percentile,34,100,0.09911063081742455,"[0.1062618595825427, 0.08115183246073299, 0.10991820040899795]"
BAAI/bge-small-en,percentile,28,50,0.09852095021108125,"[0.11586452762923351, 0.07211538461538461, 0.10758293838862559]"
adsabs/astroBERT,percentile,19,100,0.10717156272089863,"[0.12337662337662338, 0.08315098468271334, 0.11498708010335917]"
bert-base-uncased,percentile,19,100,0.1055680906816655,"[0.12520325203252033, 0.0784313725490196, 0.11306964746345657]"
nasa-impact/nasa-ibm-st.38m,percentile,37,50,0.09811827754943221,"[0.10433070866141732, 0.08174386920980926, 0.10828025477707007]"
BAAI/bge-small-en,percentile,28,100,0.09852095021108125,"[0.11586452762923351, 0.07211538461538461, 0.10758293838862559]"
nasa-impact/nasa-ibm-st.38m,percentile,37,100,0.09811827754943221,"[0.10433070866141732, 0.08174386920980926, 0.10828025477707007]"
adsabs/astroBERT,percentile,22,50,0.10373307204041693,"[0.12227805695142378, 0.07657657657657657, 0.11234458259325045]"
bert-base-uncased,percentile,22,50,0.10212225135011749,"[0.12040133779264214, 0.07657657657657657, 0.10938883968113375]"
BAAI/bge-small-en,percentile,31,50,0.0979267378173524,"[0.1141804788213628, 0.07518796992481203, 0.10441176470588236]"
nasa-impact/nasa-ibm-st.38m,percentile,40,50,0.09756063954461551,"[0.10677618069815195, 0.07627118644067797, 0.10963455149501661]"
BAAI/bge-large-en-v1.5,percentile,7,50,0.10855111490034408,"[0.13062409288824384, 0.08108108108108109, 0.11394817073170732]"
nasa-impact/nasa-ibm-st.38m,percentile,40,100,0.09756063954461551,"[0.10677618069815195, 0.07627118644067797, 0.10963455149501661]"
adsabs/astroBERT,percentile,22,100,0.10373307204041693,"[0.12227805695142378, 0.07657657657657657, 0.11234458259325045]"
BAAI/bge-small-en,percentile,31,100,0.0979267378173524,"[0.1141804788213628, 0.07518796992481203, 0.10441176470588236]"
bert-base-uncased,percentile,22,100,0.10212225135011749,"[0.12040133779264214, 0.07657657657657657, 0.10938883968113375]"
nasa-impact/nasa-ibm-st.38m,percentile,43,50,0.09017938146181968,"[0.1, 0.05813953488372093, 0.11239860950173812]"
BAAI/bge-small-en,percentile,34,50,0.09428251924786894,"[0.11259541984732824, 0.06994818652849741, 0.10030395136778116]"
nasa-impact/nasa-ibm-st.38m,percentile,43,100,0.09017938146181968,"[0.1, 0.05813953488372093, 0.11239860950173812]"
adsabs/astroBERT,percentile,25,50,0.09975652004316189,"[0.1153184165232358, 0.07441860465116279, 0.10953253895508708]"
bert-base-uncased,percentile,25,50,0.1011699318046192,"[0.12110726643598616, 0.07692307692307693, 0.10547945205479452]"
BAAI/bge-small-en,percentile,34,100,0.09428251924786894,"[0.11259541984732824, 0.06994818652849741, 0.10030395136778116]"
nasa-impact/nasa-ibm-st.38m,percentile,46,50,0.08979646846369606,"[0.0975609756097561, 0.057750759878419454, 0.11407766990291263]"
BAAI/bge-large-en-v1.5,percentile,7,100,0.10855111490034408,"[0.13062409288824384, 0.08108108108108109, 0.11394817073170732]"
adsabs/astroBERT,percentile,25,100,0.09975652004316189,"[0.1153184165232358, 0.07441860465116279, 0.10953253895508708]"
nasa-impact/nasa-ibm-st.38m,percentile,46,100,0.08979646846369606,"[0.0975609756097561, 0.057750759878419454, 0.11407766990291263]"
bert-base-uncased,percentile,25,100,0.1011699318046192,"[0.12110726643598616, 0.07692307692307693, 0.10547945205479452]"
BAAI/bge-small-en,percentile,37,50,0.09477879401606158,"[0.11530815109343936, 0.07008086253369272, 0.09894736842105263]"
nasa-impact/nasa-ibm-st.38m,percentile,49,50,0.08901684414222583,"[0.09237875288683603, 0.05732484076433121, 0.11734693877551021]"
BAAI/bge-small-en,percentile,37,100,0.09477879401606158,"[0.11530815109343936, 0.07008086253369272, 0.09894736842105263]"
adsabs/astroBERT,percentile,28,50,0.09574665107587432,"[0.10600706713780919, 0.0746987951807229, 0.10653409090909091]"
nasa-impact/nasa-ibm-st.38m,percentile,49,100,0.08901684414222583,"[0.09237875288683603, 0.05732484076433121, 0.11734693877551021]"
bert-base-uncased,percentile,28,50,0.09966600884161309,"[0.11985688729874776, 0.0746987951807229, 0.10444234404536862]"
BAAI/bge-small-en,percentile,40,50,0.09490605371796769,"[0.12058212058212059, 0.06424581005586592, 0.09989023051591657]"
nasa-impact/nasa-ibm-st.38m,percentile,52,50,0.08760442906255446,"[0.09466019417475728, 0.05333333333333334, 0.11481975967957277]"
adsabs/astroBERT,percentile,28,100,0.09574665107587432,"[0.10600706713780919, 0.0746987951807229, 0.10653409090909091]"
nasa-impact/nasa-ibm-st.38m,percentile,52,100,0.08760442906255446,"[0.09466019417475728, 0.05333333333333334, 0.11481975967957277]"
BAAI/bge-large-en-v1.5,percentile,10,50,0.10963830259804595,"[0.13303437967115098, 0.08167330677290836, 0.11420722135007849]"
bert-base-uncased,percentile,28,100,0.09966600884161309,"[0.11985688729874776, 0.0746987951807229, 0.10444234404536862]"
BAAI/bge-small-en,percentile,40,100,0.09490605371796769,"[0.12058212058212059, 0.06424581005586592, 0.09989023051591657]"
