model_name,breakpoint_threshold_type,breakpoint_threshold_amount,min_chunk_size,average_score,score0,score1,score2
BAAI/bge-large-en-v1.5,standard_deviation,0.9,100,0.019019512378218095,[0.015267175572519083, 0.007407407407407408, 0.034383954154727794]
BAAI/bge-large-en-v1.5,standard_deviation,1.0,50,0.020190344090999932,[0.016901408450704224, 0.007633587786259542, 0.036036036036036036]
BAAI/bge-large-en-v1.5,standard_deviation,1.0,100,0.020190344090999932,[0.016901408450704224, 0.007633587786259542, 0.036036036036036036]
BAAI/bge-large-en-v1.5,standard_deviation,1.1,50,0.020263699907079148,[0.01524390243902439, 0.007692307692307693, 0.03785488958990536]
BAAI/bge-large-en-v1.5,standard_deviation,1.1,100,0.020263699907079148,[0.01524390243902439, 0.007692307692307693, 0.03785488958990536]
BAAI/bge-large-en-v1.5,standard_deviation,1.2000000000000002,50,0.020247945694891033,[0.01607717041800643, 0.008, 0.03666666666666667]
BAAI/bge-large-en-v1.5,standard_deviation,1.2000000000000002,100,0.020247945694891033,[0.01607717041800643, 0.008, 0.03666666666666667]
BAAI/bge-large-en-v1.5,standard_deviation,1.3,50,0.017371138531548088,[0.013651877133105802, 0.0, 0.038461538461538464]
BAAI/bge-large-en-v1.5,standard_deviation,1.3,100,0.017371138531548088,[0.013651877133105802, 0.0, 0.038461538461538464]
BAAI/bge-large-en-v1.5,standard_deviation,1.4000000000000001,50,0.017199715707178393,[0.014285714285714285, 0.0, 0.03731343283582089]
BAAI/bge-large-en-v1.5,standard_deviation,1.4000000000000001,100,0.017199715707178393,[0.014285714285714285, 0.0, 0.03731343283582089]
BAAI/bge-large-en-v1.5,standard_deviation,1.5,50,0.016742860242734487,[0.015209125475285171, 0.0, 0.03501945525291829]
BAAI/bge-large-en-v1.5,standard_deviation,1.5,100,0.016742860242734487,[0.015209125475285171, 0.0, 0.03501945525291829]
BAAI/bge-large-en-v1.5,standard_deviation,1.6,50,0.014853846821059937,[0.015873015873015872, 0.0, 0.028688524590163935]
